Gene ID,Clade,ipTM,pTM,AF confidence score,Amino acids,CC,NB,LRR,Additional,Lacked domains,ID,Remarks,,
TRAESCS7A03G0009800,CC,0.9,0.61,0.842,1355,1-200,201-554,555-981,982-1357,,,"Long CC, C-terminal extension (F-box/kelch-repeat)",,
TRAESCS7D03G0018100,CC,0.89,0.55,0.822,1530,180-371,372-722,723-1142,"1-179, 1143-1532",,,"Long CC, N- & C-terminal extension (glutaredoxin & F-box/kelch-repeat)",,
TRAESCS7D03G0011700,CC,0.72,0.37,0.65,341,1-193,194-341,,,,,"Long CC, short NB, no LRR",,
TRAESCS4A03G1227400,CC,0.81,0.34,0.716,532,176-370,371-532,,1-175,,,"Long CC, short NB, no LRR, N-terminal extension (glutaredoxin)",,
TRAESCS7A03G0008900,CC,0.88,0.55,0.814,1510,181-374,375-728,729-1141,"1-180, 1142-1512",,,"Long CC, N- & C-terminal extension (glutaredoxin & F-box/kelch-repeat)",,
TRAESCS7D03G0010100,CC,0.89,0.55,0.822,1524,181-372,373-724,725-1147,"1-180, 1148-1526",,,"Long CC, N- & C-terminal extension (glutaredoxin & F-box/kelch-repeat)",,
TRAESCS7D03G0016500,CC,0.91,0.56,0.84,1538,181-380,381-729,730-1154,"1-180, 1155-1540",,,N- & C-terminal extension (glutaredoxin & F-box/kelch-repeat),,
TRAESCS2D03G1140000,CC,0.82,0.58,0.772,1189,221-412,413-701,702-1121,"1-220, 1122-1189",,,N- & C-terminal extension (a long loop),,
TRAESCS7A03G0044500,CC,0.95,0.46,0.852,881,326-508,509-881,,1-325,,,"N-terminal extension (MYB), no LRR ",,
TRAESCS4A03G1173600,CC,0.97,0.77,0.93,895,,1-361,362-781,782-895,,,"No CC, C-terminal extension (a long loop, an α-helix)",,
TRAESCS7D03G0047000,CC,0.94,0.67,0.886,1262,1-282,283-649,650-1072,1073-1264,,,"Long CC, C-terminal extension (B3)",,
TRAESCS7A03G0046000,CC,0.9,0.47,0.814,818,1-286,287-555,556-798,799-820,,,"Long CC, short NB, short LRR, C-terminal extension (a long loop)",,
TRAESCS4A03G1168100,CC,0.94,0.68,0.888,1311,1-258,259-620,621-1048,1049-1315,,,"Long CC, C-terminal extension (B3)",,
TRAESCS7D03G0051600,CC,0.94,0.66,0.884,1311,1-258,259-620,621-1048,1049-1315,,,"Long CC, C-terminal extension (B3)",,
TRAESCS5B03G0823100,CC,0.93,0.58,0.86,1455,1-312,313-664,665-1055,1056-1455,,,"Long CC, C-terminal extension (GRAS)",,
TRAESCS5A03G0790400,CC,0.92,0.58,0.852,1451,1-312,313-662,663-1055,1056-1455,,,"Long CC, C-terminal extension (GRAS)",,
TRAESCS5D03G0746100,CC,0.91,0.58,0.844,1462,1-322,323-672,673-1065,1066-1462,,,"Long CC, C-terminal extension (GRAS)",,
TRAESCS5B03G0823700,CC,0.69,0.47,0.646,1344,1-322,323-558,559-951,952-1344,,,"Long CC, C-terminal extension (GRAS)",,
TRAESCS7A03G0011200,CC,0.96,0.68,0.904,1196,1-213,214-565,566-965,966-1198,,,"Long CC, C-terminal extension (zinc-finger)",,
TRAESCS4A03G1151600,CC,0.96,0.8,0.928,1016,1-231,232-591,592-1016,,,,Long CC,,
TRAESCS7A03G0066200,CC,0.96,0.81,0.93,1018,1-235,236-595,596-1018,,,,Long CC,,
TRAESCS7D03G0062300,CC,0.94,0.67,0.886,958,1-235,236-535,536-958,,,,Long CC,,
TRAESCS3D03G1086900,CC,0.96,0.81,0.93,1014,1-235,236-591,592-1014,999-1014,,,"Long CC, C-terminal extension (a loop)",,
TRAESCS7A03G0067300,CC,0.94,0.69,0.89,1087,1-157,158-502,503-923,924-1089,,,C-terminal extension (CATH),,
TRAESCSU03G0114000,CC,0.76,0.62,0.732,1449,1-211,212-563,564-957,958-1449,,,"Long CC, C-terminal extension (kinase)",,
TRAESCS6B03G0236300,CC,0.76,0.61,0.73,1450,1-192,193-537,538-927,928-1450,,,"Long CC, C-terminal extension (kinase)",,
TRAESCS1D03G0886500,CC,0.95,0.68,0.896,1413,1-211,212-571,572-974,975-1413,,,"Long CC, C-terminal extension (kinase)",,
TRAESCS4A03G1152600,CC,0.76,0.56,0.72,1639,1-214,215-570,571-968,969-1639,,,"Long CC, C-terminal extension (kinase, EF-h)",,
TRAESCS7B03G1092100,CC,0.91,0.62,0.852,1353,1-214,215-575,576-968,969-1353,,,"Long CC, C-terminal extension (kinase)",,
TRAESCS4A03G1234800,CC,0.82,0.61,0.778,1321,1-163,164-514,515-908,909-1321,,,C-terminal extension (kinase),,
TRAESCS3B03G1523800,CC,0.89,0.5,0.812,1936,1-171,172-555,556-829,830-1936,,,"C-terminal extension (RIP, DUF)",,
TRAESCS2B03G0062000,CC,0.58,0.61,0.586,1355,341-503,504-872,873-1357,"1-340, 1279-1357",,,N- & C-terminal extension (kinase & a loop),,
TRAESCS5B03G1193400,CC,0.94,0.59,0.87,1300,1-95,96-439,440-824,825-1300,,,"Short CC, C-terminal extension (PP2C)",,
TRAESCS5D03G1079300,CC,0.78,0.41,0.706,297,1-213,214-297,,,,,"Long CC, short NB, no LRR",,
TRAESCS5B03G1201600,CC,0.74,0.57,0.706,1449,1-174,175-526,527-910,911-1449,,,C-terminal extension (kinase),,
TRAESCS5D03G1083900,CC,0.96,0.77,0.922,739,1-174,175-522,523-739,,,,Short LRR,,
TRAESCS2D03G1325300,CC,0.82,0.5,0.756,187,1-67,68-187,,,,,"Short CC, short NB, no LRR",,
TRAESCS2A03G1352400,CC,0.88,0.64,0.832,1300,1-144,145-499,500-913,914-1300,,,C-terminal extension (ROH-1),,
TRAESCS2D03G1325900,CC,0.66,0.5,0.628,1966,"1-155, 980-1196","156-534, 1197-1554","535-979, 1555-1966",,,,"2xCC, 2xNB, 2xLRR",,
TRAESCS2B03G1553000,CC,0.59,0.49,0.57,1872,"1-155, 967-1094","156-506, 1095-1468","507-966, 1469-1872",,,,"2xCC, 2xNB, 2xLRR",,
TRAESCS2A03G1353300,CC,0.6,0.46,0.572,1894,"1-155, 980-1144","156-512, 1145-1496","513-979, 1497-1894",,,,"2xCC, 2xNB, 2xLRR",,
TRAESCS7B03G1192700,CC,0.92,0.78,0.892,1067,1-179,180-519,520-944,945-1067,,,"C-terminal extension (a long loop, an α-helix)",,
TRAESCS7D03G1211500,CC,0.92,0.81,0.898,1000,1-179,180-517,518-1000,,,,,,
TRAESCS7A03G1275000,CC,0.92,0.81,0.898,978,1-179,180-517,518-910,911-978,,,"C-terminal extension (a loop, an α-helix)",,
TRAESCS2D03G0008100,CC,0.95,0.52,0.864,1225,,1-355,356-1225,,,,"No CC, no LRR",,
TRAESCS2A03G0009500,CC,0.96,0.6,0.888,401,1-123,124-401,,,,,"Short CC, no LRR",,
TRAESCS1B03G0018800,CC,0.66,0.45,0.618,1825,"1-128, 875-1052","129-479, 1053-1428","480-874, 1429-1825",,,,"2xCC, 2xNB, 2xLRR",,
TRAESCS2B03G0070200,CC,0.83,0.54,0.772,1564,112-229,230-582,583-920,"1-111, 921-1564",,,"N-terminal extension (HMA), C-terminal extension (kinase, nakanori)",,
TRAESCS2D03G0047700,CC,0.97,0.84,0.944,767,1-109,110-463,464-767,,,,,,
TRAESCS2A03G0048000,CC,0.97,0.58,0.892,980,1-113,114-463,464-765,766-980,,,C-terminal extension (HMA),,
TRAESCS7A03G1368300,CC,0.88,0.42,0.788,279,1-154,155-279,,,,,"Short NB, no LRR",,
TRAESCS3A03G0020000,CC,0.79,0.39,0.71,325,1-213,214-325,,,,,"Short NB, no LRR",,
TRAESCS6B03G0098500,CC,0.97,0.74,0.924,913,,1-344,345-751,752-913,,,"No CC, C-terminal extension (zinc-finger)",,
TRAESCS6B03G0029000,CC,0.95,0.55,0.87,490,1-160,161-490,,,,,No LRR,,
TRAESCS7D03G1074000,CC,0.96,0.82,0.932,965,1-159,160-512,513-920,921-967,,,C-terminal extension (an α-helix),,
TRAESCS7B03G0981400,CC,0.97,0.81,0.938,964,1-156,157-511,512-919,920-964,,,C-terminal extension (an α-helix),,
TRAESCS7A03G1127900,CC,0.97,0.69,0.914,1059,1-90,91-458,459-849,850-1059,,,"Short CC, C-terminal extension (a long loop, an α-helix)",,
TRAESCS4A03G0595300,CC,0.86,0.69,0.826,1306,1-179,180-538,539-958,959-1306,,,C-terminal extension (kinase),,
TRAESCS4D03G0175200,CC,0.89,0.66,0.844,1325,1-166,167-524,525-940,941-1325,,,C-terminal extension (kinase),,
TRAESCS4B03G0212900,CC,0.88,0.69,0.842,1290,1-166,167-524,525-940,941-1290,,,C-terminal extension (kinase),,
TRAESCS5B03G1266800,CC,0.87,0.67,0.83,1357,341-490,491-846,847-1357,1-340,,,N-terminal extension (kinase),,
TRAESCS4A03G0866200,CC,0.87,0.5,0.796,2027,341-490,491-846,847-1267,"1-340, 1268-2029",,,"N-terminal extension (kinase), C-terminal extension (CG-1, Ig, ankyrin)",,
TRAESCS5D03G1140200,CC,0.85,0.42,0.764,321,1-160,161-321,,,,,"Short NB, no LRR",,
TRAESCS5B03G0048600,CC,0.9,0.48,0.816,377,1-160,161-379,,,,,"Short NB, no LRR",,
TRAESCS1D03G0054600,CC,0.93,0.79,0.902,831,,1-340,341-779,780-833,,,"No CC, C-terminal extension (an α-helix)",,
TRAESCS1D03G0081100,CC,0.92,0.54,0.844,1660,1-155,156-525,526-982,983-1662,,,C-terminal extension (Exo70),,
TRAESCS4D03G0003500,CC,0.84,0.5,0.772,319,1-160,161-319,,,,,"Short NB, no LRR",,
TRAESCS5A03G0826700,CC,0.94,0.59,0.87,397,1-198,199-397,,,,,"Long CC, short NB, no LRR",,
TRAESCS5D03G0790600,CC,0.97,0.66,0.908,1338,1-168,169-518,519-959,960-1340,,,C-terminal extension (WRKY),,
TRAESCS5B03G0864200,CC,0.97,0.65,0.906,1409,1-407,408-763,764-1191,1192-1409,,,"Long CC, C-terminal extension (AP2/ERF)",,
TRAESCS5A03G0826500,CC,0.95,0.63,0.886,1482,321-493,494-839,840-1253,"1-320, 1254-1482",,,"N-terminal extension (ankyrin), C-terminal extension (WRKY)",,
TRAESCS5B03G0864100,CC,0.98,0.49,0.882,598,1-316,317-600,,,,,"Long CC, short NB, no LRR",,
TRAESCS7D03G1137200,CC,0.96,0.81,0.93,803,1-149,150-499,500-803,,,,,,
TRAESCS7B03G1075600,CC,0.96,0.8,0.928,805,1-149,150-503,504-805,,,,,,
TRAESCS7B03G1075900,CC,0.96,0.79,0.926,804,1-149,150-503,500-804,,,,,,
TRAESCS2B03G0858500,CC,0.87,0.72,0.84,1044,1-159,160-599,600-1044,,,,Long NB,,
TRAESCS2D03G0716100,CC,0.9,0.72,0.864,1047,1-164,165-599,600-1047,,,,Long NB,,
TRAESCS1B03G0024500,CC,0.88,0.37,0.778,288,1-288,,,,,,"Long CC, short NB, no LRR",,
TRAESCS5D03G0945400,CC,0.88,0.77,0.858,970,1-155,156-577,578-970,,,,,,
TRAESCS5B03G1042500,CC,0.87,0.76,0.848,978,1-160,161-559,560-978,,,,,,
TRAESCS2D03G0083200,CC,0.82,0.34,0.724,232,1-177, 178-232,,,,,"Short NB, no LRR",,
TRAESCS5B03G0994500,CC,0.89,0.69,0.85,887,1-162,161-571,572-874,875-887,,,C-terminal extension (an α-helix),,
TRAESCS5D03G0902500,CC,0.91,0.73,0.874,997,1-162,163-570,571-997,,,,,,
TRAESCS2B03G0007900,CC,0.91,0.75,0.878,1027,1-169,170-608,609-1027,,,,,,
TRAESCS6B03G0049400,CC,0.91,0.74,0.876,1006,1-162,163-576,577-1006,,,,,,
TRAESCS7A03G0137200,CC,0.75,0.75,0.75,981,1-191,192-545,546-981,,,,,,
TRAESCS2A03G1335300,CC,0.9,0.63,0.846,1033,1-167,168-617,618-974,975-1033,,,"Short CC, C-terminal extension (a loop, an α-helix)",,
TRAESCS5D03G0065700,CC,0.92,0.77,0.89,970,1-154,155-547,548-972,,,,,,
TRAESCSU03G0250100,CC,0.84,0.75,0.822,983,1-167,168-565,566-983,,,,,,
TRAESCS2D03G0076400,CC,0.84,0.71,0.814,1059,1-157,158-637,638-1059,,,,Long NB,,
TRAESCS2D03G0075300,CC,0.91,0.46,0.82,370,1-169,170-370,,,,,"Short NB, no LRR",,
TRAESCS2B03G0117200,CC,0.89,0.75,0.862,979,1-165,166-564,565-981,,,,,,
TRAESCS2A03G0080500,CC,0.9,0.76,0.872,988,1-165,166-573,574-990,,,,,,
TRAESCS3D03G0023300,CC,0.95,0.82,0.924,841,1-53,54-426,427-841,,,,Short CC,,
TRAESCS3A03G0029000,CC,0.93,0.8,0.904,955,1-160,161-540,541-955,,,,,,
TRAESCS5B03G1157200,CC,0.9,0.74,0.868,917,1-160,161-529,530-917,,,,,,
TRAESCSU03G0029700,CC,0.9,0.8,0.88,945,1-160,161-529,530-945,,,,,,
TRAESCS4B03G0958900,CC,0.9,0.75,0.87,917,1-160,161-529,530-917,,,,,,
TRAESCSU03G0157600,CC,0.9,0.8,0.88,945,1-160,161-529,530-945,,,,,,
TRAESCS4B03G0959000,CC,0.89,0.79,0.87,945,1-160,161-529,530-945,,,,,,
TRAESCS1D03G0111500,CC,0.91,0.75,0.878,999,1-160,161-576,577-999,,,,,,
TRAESCS5D03G1196200,CC,0.93,0.76,0.896,986,1-163,164-574,575-986,,,,,,
TRAESCS5B03G1335000,CC,0.93,0.76,0.896,986,1-160,161-574,575-986,,,,,,
TRAESCS4A03G1239900,CC,0.88,0.72,0.848,1075,1-163,164-651,652-1075,,,,Long NB,,
TRAESCS7D03G0016100,CC,0.84,0.34,0.74,242,1-149,150-242,,,,,"Short NB, no LRR",,
TRAESCS7D03G0010400,CC,0.89,0.71,0.854,859,1-159,160-573,574-859,,,,,,
TRAESCS7A03G0013200,CC,0.9,0.71,0.862,1083,1-204,205-659,660-1083,,,,Long CC,,
TRAESCS7D03G0017600,CC,0.88,0.73,0.85,1039,1-162,163-615,616-1039,,,,,,
TRAESCS7A03G0010100,CC,0.95,0.54,0.868,446,1-152,153-446,,,,,"Short NB, no LRR",,
TRAESCS4A03G1227200,CC,0.92,0.6,0.856,716,1-162,163-626,627-716,,,,"Long NB, short LRR",,
TRAESCS4A03G1228900,CC,0.83,0.58,0.78,1013,1-161,162-606,607-1013,,,,"Long NB, short LRR",,
TRAESCS4A03G1233900,CC,0.88,0.7,0.844,1094,1-211,212-672,673-1096,,,,"Long CC, long NB",,
TRAESCS4A03G1227000,CC,0.89,0.69,0.85,1096,1-211,212-672,673-1096,,,,"Long CC, long NB",,
TRAESCS7D03G0015500,CC,0.86,0.72,0.832,1049,1-162,163-625,626-1049,,,,Long NB,,
TRAESCS2B03G0498100,CC,0.93,0.75,0.894,994,1-197,198-568,569-994,,,,Long CC,,
TRAESCS2A03G0373600,CC,0.93,0.77,0.898,960,1-164,165-534,535-960,,,,,,
TRAESCS2D03G0393000,CC,0.95,0.64,0.888,632,1-199,200-568,569-632,,,,"Long CC, short LRR",,
TRAESCS1B03G1086600,CC,0.93,0.74,0.892,997,1-153,154-529,530-940,941-997,,,C-terminal extension (a loop),,
TRAESCS1B03G1086800,CC,0.94,0.76,0.904,803,1-159,160-531,532-803,,,,,,
TRAESCS1D03G0903100,CC,0.93,0.77,0.898,997,1-159,160-531,532-942,943-997,,,"C-terminal extension (a loop, an α-helix)",,
TRAESCS1B03G1086900,CC,0.93,0.75,0.894,1029,1-159,160-533,534-943,944-1029,,,"C-terminal extension (a loop, an α-helix)",,
TRAESCS1D03G0903000,CC,0.97,0.66,0.908,374,1-113,114-374,,,,,"Short NB, no LRR",,
TRAESCS7A03G1000200,CC,0.93,0.77,0.898,962,1-185,186-561,562-962,,,,,,
TRAESCS6B03G0963800,CC,0.89,0.41,0.794,332,1-180,181-332,,,,,"Short NB, no LRR",,
TRAESCSU03G0495700,CC,0.71,0.43,0.654,120,1-120,,,,,,"No NB, no LRR",,
TRAESCSU03G0444300,CC,0.87,0.4,0.776,321,1-162,163-321,,,,,"Short NB, no LRR",,
TRAESCSU03G0444200,CC,0.88,0.4,0.784,337,1-183,184-337,,,,,"Short NB, no LRR",,
TRAESCS5D03G0002300,CC,0.95,0.78,0.916,952,1-171,172-548,549-952,,,,,,
TRAESCS6D03G0926600,CC,0.88,0.75,0.854,948,1-149,150-551,552-948,,,,,,
TRAESCS6D03G0925800,CC,0.93,0.77,0.898,978,1-171,172-563,564-978,,,,,,
TRAESCS6D03G0926300,CC,0.78,0.4,0.704,308,1-171,172-308,,,,,"Short NB, no LRR",,
TRAESCS5B03G0065400,CC,0.93,0.75,0.894,1012,1-147,148-564,565-1012,,,,,,
TRAESCS5D03G0093800,CC,0.94,0.76,0.904,1006,1-160,161-581,582-1006,,,,,,
TRAESCS4A03G1117300,CC,0.93,0.72,0.888,966,1-151,152-542,543-966,,,,,,
TRAESCS3D03G0105400,CC,0.94,0.74,0.9,947,1-151,152-534,535-947,,,,,,
TRAESCS7A03G0072800,CC,0.95,0.77,0.914,770,1-145,146-534,535-770,,,,Short LRR,,
TRAESCS7D03G0070100,CC,0.95,0.78,0.916,958,1-145,146-534,535-958,,,,,,
TRAESCS4A03G1138600,CC,0.95,0.62,0.884,582,1-151,152-534,535-582,,,,,,
TRAESCS7B03G1301700,CC,0.95,0.79,0.918,945,1-147,148-529,530-945,,,,,,
TRAESCS7A03G1311900,CC,0.93,0.75,0.894,937,1-147,148-525,526-937,,,,,,
TRAESCS2B03G1487100,CC,0.95,0.79,0.918,965,1-150,151-536,537-965,,,,,,
TRAESCSU03G0406200,CC,0.87,0.5,0.796,193,,1-193,,,,,"No CC, short NB, short LRR",,
TRAESCS2B03G1486400,CC,0.93,0.51,0.846,246,1-107,108-246,,,,,"Short CC, short NB, no LRR",,
TRAESCS2B03G1486500,CC,0.89,0.5,0.812,246,1-107,108-246,,,,,"Short CC, short NB, no LRR",,
TRAESCS2B03G1486000,CC,0.95,0.74,0.908,853,1-172,173-552,553-853,,,,,,
TRAESCSU03G0171200,CC,0.91,0.47,0.822,264,1-117,118-264,,,,,"Short CC, short NB, no LRR",,
TRAESCSU03G0377400,CC,0.86,0.4,0.768,283,1-158,159-283,,,,,"Short NB, no LRR",,
TRAESCS2B03G1486800,CC,0.9,0.45,0.81,307,1-157,158-307,,,,,"Short NB, no LRR",,
TRAESCS7A03G0091600,CC,0.95,0.76,0.912,902,1-103,104-480,481-902,,,,Short CC,,
TRAESCS7A03G0100500,CC,0.94,0.79,0.91,974,1-146,147-543,544-974,,,,,,
TRAESCS7D03G0090800,CC,0.9,0.5,0.82,257,1-102,103-257,,,,,"Short CC, short NB, no LRR",,
TRAESCS7D03G0090600,CC,0.91,0.55,0.838,267,1-83,84-267,,,,,"Short CC, short NB, no LRR",,
TRAESCS7D03G0293800,CC,0.96,0.64,0.896,565,1-154,155-565,,,,,No LRR,,
TRAESCS5B03G0100700,CC,0.94,0.76,0.904,940,1-149,150-520,521-940,,,,,,
TRAESCS2B03G0111900,CC,0.93,0.39,0.822,334,1-334,,,,,,"Long CC, no NB, no LRR",,
TRAESCS7B03G1237700,CC,0.95,0.77,0.914,961,1-153,154-542,543-961,,,,,,
TRAESCS7B03G1237900,CC,0.94,0.74,0.9,961,1-153,154-542,543-961,,,,,,
TRAESCS6D03G0913900,CC,0.95,0.71,0.902,993,1-181,182-585,586-993,,,,,,
TRAESCS6B03G1300200,CC,0.94,0.7,0.892,962,1-157,158-551,552-962,,,,,,
TRAESCS7B03G1184600,CC,0.96,0.82,0.932,896,1-141,142-494,495-896,,,,,,
TRAESCS5A03G0174200,CC,0.95,0.77,0.914,976,1-163,164-536,537-976,,,,,,
TRAESCS3D03G0015400,CC,0.93,0.78,0.9,963,1-139,140-508,509-924,925-963,,,C-terminal extension (an α-helix),,
TRAESCS3A03G0018000,CC,0.95,0.81,0.922,942,1-141,142-511,512-933,934-942,,,C-terminal extension (a loop),,
TRAESCS5B03G1029100,CC,0.92,0.76,0.888,1032,1-141,142-514,515-1021,1022-1032,,,"A long loop in LRR, C-terminal extension (a loop)",,
TRAESCS4A03G1088400,CC,0.94,0.73,0.898,1076,1-137,138-531,532-1066,1067-1076,,,"A long loop in LRR, C-terminal extension (a loop)",,
TRAESCS1D03G0449300,CC,0.95,0.79,0.918,693,,1-330,331-693,,,,No CC,,
TRAESCS5D03G1200700,CC,0.94,0.75,0.902,1025,1-124,125-518,519-1025,,,,A long loop in LRR,,
TRAESCS1B03G1088300,CC,0.93,0.68,0.88,943,1-142,143-513,514-943,,,,,,
TRAESCS1D03G0016800,CC,0.94,0.74,0.9,963,1-142,143-541,542-963,,,,,,
TRAESCS1B03G0029400,CC,0.94,0.7,0.892,962,1-142,143-541,542-964,,,,,,
TRAESCS1D03G0054500,CC,0.96,0.76,0.92,1007,1-158,159-523,524-930,931-1007,,,C-terminal extension (a long loop),,
TRAESCS1D03G0081000,CC,0.96,0.78,0.924,707,1-161,162-524,525-661,662-707,,,"Short LRR, C-terminal extension (a loop)",,
TRAESCS5B03G0048700,CC,0.96,0.79,0.926,1009,1-164,165-518,519-929,930-1009,,,C-terminal extension (a long loop),,
TRAESCS5B03G0864400,CC,0.96,0.78,0.924,991,1-151,152-515,516-927,928-991,,,C-terminal extension (a long loop),,
TRAESCS5B03G0863800,CC,0.97,0.79,0.934,957,1-124,125-481,482-893,894-957,,,C-terminal extension (a long loop),,
TRAESCS5A03G0826200,CC,0.97,0.79,0.934,997,1-163,164-521,522-933,934-997,,,C-terminal extension (a long loop),,
TRAESCS5D03G0790400,CC,0.97,0.78,0.932,998,1-163,164-521,522-933,934-998,,,C-terminal extension (a long loop),,
TRAESCS2D03G0008200,CC,0.95,0.8,0.92,954,1-141,142-494,495-954,,,,,,
TRAESCS2A03G0009400,CC,0.94,0.77,0.906,953,1-141,142-494,495-939,940-953,,,C-terminal extension (a loop),,
TRAESCS2B03G0070600,CC,0.95,0.78,0.916,985,1-141,142-494,495-934,935-985,,,C-terminal extension (a loop),,
TRAESCS2B03G0070100,CC,0.94,0.78,0.908,963,1-141,142-501,502-950,951-963,,,C-terminal extension (a loop),,
TRAESCS2D03G0047800,CC,0.95,0.73,0.906,1065,1-141,142-507,508-944,945-1065,,,C-terminal extension (a long loop),,
TRAESCS2A03G0048100,CC,0.93,0.75,0.894,1013,1-141,142-506,507-956,957-1013,,,C-terminal extension (a long loop),,
TRAESCS7A03G1128000,CC,0.95,0.78,0.916,970,1-151,152-495,496-915,916-970,,,C-terminal extension (a long loop),,
TRAESCS7D03G1074200,CC,0.95,0.79,0.918,972,1-151,152-495,496-918,919-970,,,C-terminal extension (a long loop),,
TRAESCS5B03G1037400,CC,0.96,0.78,0.924,989,1-154,155-496,497-918,919-989,,,C-terminal extension (a long loop),,
TRAESCS7A03G1368200,CC,0.95,0.75,0.91,648,1-154,155-494,495-648,,,,Short LRR,,
TRAESCS3A03G0019900,CC,0.97,0.77,0.93,1026,1-197,198-536,537-957,958-1026,,,"Long CC, C-terminal extension (a loop, an α-helix)",,
TRAESCS6B03G0029100,CC,0.96,0.78,0.924,990,1-149,150-495,496-918,919-990,,,"C-terminal extension (a loop, an α-helix)",,
TRAESCS6B03G0098600,CC,0.96,0.78,0.924,993,1-152,153-497,498-920,921-993,,,"C-terminal extension (a loop, an α-helix)",,
TRAESCS2B03G0061900,CC,0.95,0.53,0.866,502,1-142,143-502,,,,,No LRR,,
TRAESCS2B03G0140600,CC,0.95,0.68,0.896,1115,1-153,154-560,561-1115,,,,"A long loop in NB, a long loop in LRR",,
TRAESCS4A03G1161500,CC,0.94,0.72,0.896,1049,1-153,154-656,657-1049,,,,A long loop in NB,,
TRAESCS7A03G0057100,CC,0.94,0.72,0.896,1041,1-149,150-648,649-1041,,,,A long loop in NB,,
TRAESCS7D03G0056700,CC,0.94,0.73,0.898,1043,1-149,150-648,649-1043,,,,A long loop in NB,,
TRAESCS3A03G1271800,CC,0.96,0.85,0.938,762,1-130,131-471,472-762,,,,Short LRR,,
TRAESCS3B03G1524400,CC,0.95,0.82,0.924,881,1-130,131-471,472-881,,,,,,
TRAESCS3B03G1440400,CC,0.96,0.82,0.932,892,1-135,136-481,482-892,,,,,,
TRAESCS3B03G1523900,CC,0.97,0.78,0.932,941,1-133,134-482,483-930,931-941,,,"A long loop in LRR, C-terminal extension (a loop)",,
TRAESCS4A03G0595200,CC,0.96,0.81,0.93,976,1-153,154-516,517-911,912-976,,,C-terminal extension (a loop),,
TRAESCS4B03G0212800,CC,0.96,0.79,0.926,979,1-153,154-516,517-914,915-979,,,C-terminal extension (a loop),,
TRAESCS4D03G0175000,CC,0.96,0.77,0.922,1066,1-242,243-606,607-1001,1002-1066,,,"Long CC (a loop), C-terminal extension (a long loop)",,
TRAESCS4A03G0866300,CC,0.68,0.44,0.632,294,1-185,186-294,,,,,"Short NB, no LRR",,
TRAESCS5D03G1139800,CC,0.96,0.81,0.93,946,1-134,135-499,500-907,908-946,,,C-terminal extension (a loop),,
TRAESCS5B03G1267000,CC,0.96,0.81,0.93,958,1-144,145-511,512-919,920-958,,,C-terminal extension (a loop),,
TRAESCS5B03G0823600,CC,0.95,0.58,0.876,380,1-157,158-380,,,,,"Short NB, no LRR",,
TRAESCS5D03G0746000,CC,0.96,0.83,0.934,898,1-143,144-492,493-898,,,,,,
TRAESCS7A03G0011300,CC,0.96,0.73,0.914,1087,1-159,160-511,512-923,924-1087,,,C-terminal extension (a long loop),,
TRAESCS4A03G1234700,CC,0.95,0.7,0.9,1124,1-163,164-534,535-919,920-1124,,,C-terminal extension (a long loop),,
TRAESCS7B03G1092000,CC,0.95,0.67,0.894,1178,1-170,171-536,537-963,964-1178,,,C-terminal extension (a long loop),,
TRAESCS7A03G0015400,CC,0.96,0.78,0.924,1021,1-158,159-526,527-944,945-1021,,,C-terminal extension (a long loop),,
TRAESCS4A03G1152300,CC,0.95,0.78,0.916,1013,1-158,159-516,517-947,948-1013,,,C-terminal extension (a loop),,
TRAESCS1D03G0886700,CC,0.97,0.7,0.916,1170,1-158,159-522,523-932,933-1170,,,C-terminal extension (a long loop),,
TRAESCS7A03G0067200,CC,0.95,0.71,0.902,1115,1-147,148-511,512-922,923-1115,,,C-terminal extension (a long loop),,
TRAESCSU03G0114100,CC,0.96,0.71,0.91,1125,1-155,156-520,521-931,932-1125,,,C-terminal extension (a long loop),,
TRAESCS6B03G0236500,CC,0.96,0.69,0.906,1116,1-155,156-520,521-907,908-1116,,,C-terminal extension (a long loop),,
TRAESCS4A03G1168000,CC,0.95,0.74,0.908,1077,1-148,149-504,505-922,923-1079,,,C-terminal extension (a long loop),,
TRAESCS7D03G0051500,CC,0.96,0.74,0.916,1089,1-148,149-504,505-922,923-1091,,,C-terminal extension (a long loop),,
TRAESCS7A03G0046100,CC,0.96,0.74,0.916,732,1-164,165-522,523-694,695-734,,,"Short LRR, C-terminal extension (a long loop)",,
TRAESCS4A03G1174000,CC,0.96,0.77,0.922,916,1-100,101-456,457-879,880-918,,,"Short CC, C-terminal extension (a long loop, an α-helix)",,
TRAESCS7A03G0044400,CC,0.96,0.73,0.914,1107,1-163,164-514,515-937,938-1107,,,"C-terminal extension (a long loop, an α-helix)",,
TRAESCS7D03G0047100,CC,0.97,0.74,0.924,1115,1-165,166-517,518-941,942-1117,,,C-terminal extension (a long loop),,
TRAESCS2D03G1140300,CC,0.96,0.73,0.914,1115,1-162,163-519,520-939,940-1117,,,C-terminal extension (a long loop),,
TRAESCS7D03G0041600,CC,0.96,0.76,0.92,1064,1-156,157-517,518-938,939-1066,,,"C-terminal extension (a long loop, an α-helix)",,
TRAESCS4A03G1183000,CC,0.93,0.57,0.858,1104,1-152,153-466,467-887,888-1106,,,"C-terminal extension (a long loop, an α-helix)",,
TRAESCS7D03G0012000,CC,0.94,0.77,0.906,926,1-164,165-515,516-926,,,,,,
